EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-38800073	EE-09, 00422,1a	Baetica	Los Villares / Isturgi			sigilla impressa; tituli fabricationis	"Legio VII
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T372852 | https://www.trismegistos.org/text/372852	38.0259248	-3.9843349	http://www.trismegistos.org/place/26135		
EDCS-05501129	CIL 02, 01125 = CIL 02, 06252,02 = CILA-02-02, 00580 = ERItalica 00068	Baetica	Santiponce / Italica			sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=A530;CO0048370;T220623 | https://www.trismegistos.org/text/220623 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0048370	37.4438689	-6.0467827	http://www.trismegistos.org/place/26248		
EDCS-43900005	ERItalica 00069	Baetica	Santiponce / Italica			sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T373203 | https://www.trismegistos.org/text/373203	37.4438689	-6.0467827	http://www.trismegistos.org/place/26248		
EDCS-11300162	IIFDR 00429	Dacia	?			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) C(uppis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T397251 | https://www.trismegistos.org/text/397251					http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IIFDR_00429.jpg
EDCS-11200392	IDR-03-01, 00072e	Dacia	Baile Herculane / Herkulesbad / Aqua Herculis / Ad Mediam			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII [Cl(audia)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396189 | https://www.trismegistos.org/text/396189	44.8681802	22.4085127	http://www.trismegistos.org/place/30102		
EDCS-30300649	CIL 03, 08071c-d = IDR-03-01, 00007c	Dacia	Banatska Palanka			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C(laudia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395423 | https://www.trismegistos.org/text/395423	44.844154	21.3203922	http://www.trismegistos.org/place/36601		
EDCS-11200348	IDR-03-01, 00008	Dacia	Banatska Palanka			milites; nomen singulare; ordo equester; sigilla impressa; tituli fabricationis; viri	"Leg(io) VII Cl(audia) s(ub) c(ura) // Adventini p(rae)f(ecti)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396158 | https://www.trismegistos.org/text/396158	44.844154	21.3203922	http://www.trismegistos.org/place/36601		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00008.jpg
EDCS-11200349	IDR-03-01, 00009	Dacia	Banatska Palanka			milites; nomen singulare; ordo equester; sigilla impressa; tituli fabricationis; viri	"[Leg(io)] VII Cl(audia) s(ub) c(ura) Euf(emi) p(raefecti) f(ecit) Bessio
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396159 | https://www.trismegistos.org/text/396159	44.844154	21.3203922	http://www.trismegistos.org/place/36601		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00009.jpg
EDCS-27400536	CIL 03, 01700,1b (p 1470)	Dacia	Brasov / Brasso / Kronstadt			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395267 | https://www.trismegistos.org/text/395267	45.6579755	25.6011977	http://www.trismegistos.org/place/36686		
EDCS-44800142	ILD 00094 = CERom-21/24, 01005b	Dacia	Bumbesti-Jiu			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T397289 | https://www.trismegistos.org/text/397289	45.1776245	23.3856157	http://www.trismegistos.org/place/30124		
EDCS-09300516	AE 1976, 00582d	Dacia	Cartier Celei / Sucidava	301	330	milites; sigilla impressa; tituli fabricationis	"L(egio) VII Cl(audia) s(ub) c(ura) [3]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD012441;T178708 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012441 | https://www.trismegistos.org/text/178708	43.768830	24.4565043	http://www.trismegistos.org/place/29841		
EDCS-09001562	CERom-02, 00105 = CERom-06, 00388a = CERom-17, 00733 = AE 1981, 00719 = AE 1998, +01111	Dacia	Cartier Celei / Sucidava	107	275	mulieres; sigilla impressa; tituli fabricationis; tria nomina; viri	"[Le]g(io) VII s(ub) cur(a) Ur[saci(?) Fl(avi) Arguti of(ficina)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD005799;T178392 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD005799 | https://www.trismegistos.org/text/178392	43.768830	24.4565043	http://www.trismegistos.org/place/29841		
EDCS-61000012	CERom-06, 00388b	Dacia	Cartier Celei / Sucidava			milites; nomen singulare; sigilla impressa; tituli fabricationis; viri	"[Leg(io)] VII s(ub) c(ura) Ur[saci(?)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T660422 | https://www.trismegistos.org/text/660422	43.768830	24.4565043	http://www.trismegistos.org/place/29841		
