EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-24600965	"CIL 11, 00021 (p 1227) = CIL 03, *00173a (p 36*, 2328, 114) = CIL 03, 14244,1 = Legio-VII 00028"	Dalmatia	Salona	42	100	milites; tituli sepulcrales; tria nomina; viri	T(itus) Curtiacus / T(iti) f(ilius) Lem(onia) Bon(onia) / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062044 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062044					
EDCS-28600125	"CIL 03, 03162a (p 1650) = CIL 05, *00333 = CIL 11, *00123a4 = Legio-VII 00003"	Dalmatia	?	42	100	milites; mulieres; tituli sepulcrales; tria nomina; viri	M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima(!) heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil-05/CIL05_fva_p30;CO0102746;HD062298 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062298 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0102746					http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_03_03162a.jpg
EDCS-55300299	Legio-VII 00076	Dalmatia	?			milites; tituli sepulcrales; viri	] / mil(es) leg(ionis) V[II 3] / an(n)or(um) XXIV stip(endiorum) / V h(ic) s(itus) e(st) / frater pos(u)it						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00076.jpg
EDCS-55300300	Legio-VII 00100	Dalmatia	?			sigilla impressa; tituli fabricationis	"Leg(ionis) VII [C(laudiae) P(iae) F(idelis)]
material: opus figlinae"						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00100.jpg
EDCS-55300301	Legio-VII 00101	Dalmatia	?			sigilla impressa; tituli fabricationis	"[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)
material: opus figlinae"						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00101.jpg
EDCS-55300302	Legio-VII 00102	Dalmatia	?			sigilla impressa; tituli fabricationis	"[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)
material: opus figlinae"						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00102.jpg
EDCS-55300303	Legio-VII 00103	Dalmatia	?			sigilla impressa; tituli fabricationis	"[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)
material: opus figlinae"						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00103.jpg
EDCS-55300304	Legio-VII 00104	Dalmatia	?			sigilla impressa; tituli fabricationis	"Leg(ionis) VII C(laudiae) P(iae) F(idelis)
material: opus figlinae"						http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00104.jpg
