MonumentID,MilitaryStatus,CPFTitle,MonumentType
2,veteran,cpf,funerary inscription
14,veteran,cpf,stela
19,veteran,cpf,funerary inscription
32,veteran,cpf,funerary inscription
33,veteran,cpf,funerary inscription
35,veteran,cpf,funerary inscription
42,veteran,cpf,titulus
45,veteran,cpf,funerary inscription
53,veteran,cpf,stela
71,veteran,cpf,funerary inscription
73,veteran,cpf,altar
78,veteran,cpf,stela
81,veteran,both,stela
82,?veteran,cpf,funerary inscription
88,veteran,cpf,stela
98,veteran,maybe,funerary inscription
