MonumentID,"Monument Reference",MonumentType,Date,"Site of Discovery"
7,"CIL 03, 03162a",stela,"42 to 59","Dalmatia, "
26,"AE 1994, 1355",stela,"7 to 42","Dalmatia, "
34,"CIL 03, 14931",stela,"7 to 42","Dalmatia, "
89,"Tončinić 76",stela,"7 to 59","Dalmatia, "
2,"CIL 03, 02733","funerary inscription","42 to 70","Dalmatia, Aequum"
4,"Tončinić 66",stela,"7 to 42","Dalmatia, Aequum"
53,"CIL 03, 14946",stela,"42 to 70","Dalmatia, Aequum"
71,"CIL 03, 09761","funerary inscription","42 to 70","Dalmatia, Aequum"
63,"AE 1940, 0177",altar,"171 to 230","Dalmatia, Andetrium"
103,"CIL 03, 14951","sacral monument","42 to 59","Dalmatia, Andetrium"
46,"CIL 03, 09939",stela,"7 to 42","Dalmatia, Asseria"
92,"CIL 03, 14992","funerary inscription","7 to 59","Dalmatia, Burnum"
28,"CIL 03, 02885","funerary inscription","42 to 59","Dalmatia, Corinium"
11,"CIL 03, 02913",stela,"7 to 42","Dalmatia, Iadera"
17,"CIL 03, 02914","funerary inscription","7 to 42","Dalmatia, Iadera"
58,"CIL 03, 02772",stela,"42 to 59","Dalmatia, Municipium Riditarum/Rider"
20,"CIL 03, 01813",stela,"7 to 42","Dalmatia, Narona"
35,"CIL 03, 01814","funerary inscription","42 to 70","Dalmatia, Narona"
61,"CIL 03, 01818","funerary inscription","7 to 42","Dalmatia, Narona"
15,"CIL 03, 08487",titulus,"7 to 42","Dalmatia, Pagus Scunasticus"
21,"CIL 03, 06364",titulus,"7 to 42","Dalmatia, Pagus Scunasticus"
40,"AE 2000, 1174",stela,"7 to 42","Dalmatia, Pagus Scunasticus"
41,"ILJug 3, 1920",stela,"7 to 42","Dalmatia, Pagus Scunasticus"
49,"Tončinić 40",stela,"7 to 59","Dalmatia, Pagus Scunasticus"
54,"ILJug 3, 1916",titulus,"7 to 42","Dalmatia, Pagus Scunasticus"
64,"CIL 03, 08493",stela,"7 to 59","Dalmatia, Pagus Scunasticus"
67,"ILJug 2, 0670",stela,"7 to 42","Dalmatia, Pagus Scunasticus"
69,"AE 2003, 1330",stela,"7 to 42","Dalmatia, Pagus Scunasticus"
72,"ILJug 3, 1921",stela,"7 to 42","Dalmatia, Pagus Scunasticus"
81,"AE 2000, 1176",stela,"7 to 70","Dalmatia, Pagus Scunasticus"
8,"ILJug 3, 2091",stela,"7 to 42","Dalmatia, Salona"
9,"CIL 03, 08723",stela,"7 to 42","Dalmatia, Salona"
13,"CIL 03, 08735","funerary inscription","42 to 59","Dalmatia, Salona"
14,"CIL 03, 02014",stela,"42 to 59","Dalmatia, Salona"
19,"CIL 03, 02022","funerary inscription","42 to 70","Dalmatia, Salona"
22,"CIL 03, 02033",stela,"7 to 42","Dalmatia, Salona"
24,"ILJug 3, 2105",stela,"7 to 59","Dalmatia, Salona"
32,"CIL 03, 02019","funerary inscription","42 to 70","Dalmatia, Salona"
33,"CIL 03, 14244/1","funerary inscription","42 to 70","Dalmatia, Salona"
42,"AE 1996, 1215",titulus,"42 to 59","Dalmatia, Salona"
44,"CIL 03, 02040",stela,"42 to 59","Dalmatia, Salona"
45,"CIL 03, 02041","funerary inscription","42 to 70","Dalmatia, Salona"
47,"AE 1904, 0172",stela,"42 to 59","Dalmatia, Salona"
50,"AE 1991, 1291",stela,"42 to 59","Dalmatia, Salona"
59,"ILJug 3, 2280",stela,"7 to 42","Dalmatia, Salona"
60,"ILJug 3, 2601",stela,"42 to 59","Dalmatia, Salona"
62,"CIL 03, 02048",stela,"7 to 42","Dalmatia, Salona"
65,"ILJug 3, 2090",altar,"7 to 42","Dalmatia, Salona"
66,"CIL 03, 08760",stela,"42 to 59","Dalmatia, Salona"
68,"AE 1991, 1290",stela,"7 to 42","Dalmatia, Salona"
73,"CIL 03, 08764",altar,"42 to 70","Dalmatia, Salona"
77,"ILJug 3, 2093",altar,"42 to 59","Dalmatia, Salona"
78,"ILJug 3, 2600",stela,"42 to 70","Dalmatia, Salona"
