ServicemanID,Name,DefiniteServiceman,UnitID,LiklihoodOfUnitAttribution,MilitaryStatusID,Tribe,OriginProvince,OriginSettlement,TribusDomiciliumNote,ServicemanNote
1,"veteranorum? leg VII CPF",yes,2,"epigraphically attested",8,,,,,
2,"Lucius Vettius Secundus, son of Marcus",yes,1,"epigraphically attested",14,Maecia,Italy,Libarna,,
3,"Lucius Ancharenus, son of Quintus",yes,1,"epigraphically attested",1,Sergia,"Asia Minor",Laranda,,
4,"Titus Ancharenus, son of Titus",yes,1,"epigraphically attested",1,Sergia,"Asia Minor",Laranda,,
5,"Marcus Antonius Celurus",yes,2,"epigraphically attested",2,,,,,
6,"Lucius Arruntius",yes,1,"epigraphically attested",15,,"Asia Minor",Pasimo,,
7,"Gaius Asurius",yes,1,"epigraphically attested",1,,Italy,Florentia,,
8,"Lucius Attius, son of Lucius",yes,1,"epigraphically attested",1,Sergia,,Augusta,"Unsure if Augusta Praetoria (Italia) or Augusta Troas (Asia Minor). Tončinić 2011, 204-205; Fadić 1995 168: Troas may be more conjecture, as Sergia is a common tribe for Asia Minor citizens, and another Member (Gaius Curiatius) does list Augusta Troas as his place of origin (MonumentID 32, CIL 3, 2019).",
9,"Sextus Atilius, son of Sextus",yes,1,"epigraphically attested",14,Papiria,Italy,Ticinum,,
10,"Quintus Baebius, son of Quintus",yes,1,"epigraphically attested",1,Sergia,"Asia Minor",Conana,,
11,"Gaius Bittius Gemellus",yes,2,"epigraphically attested",10,Tromentia,,,"Domicile is lost as inscription is fragmentary",
12,"Lucius Caesius Bassus",yes,2,"epigraphically attested",14,Camilia,Italy,Pisaurum,,
13,"Lucius Domitius Aquila, son of Lucius",yes,1,"epigraphically attested",14,Aniensis,"Asia Minor",Mylias,,
14,"Gaius Domitius Aquilinus, son of Lucius",yes,1,"epigraphically attested",1,Aniensis,"Asia Minor",Mylias,"Stela does not explicitly mention that Gaius from Mylia, but his father/brother commemorated on the same monument is from Mylias",
15,"Gaius Domitius, son of Gnaeus",yes,1,"epigraphically attested",14,Velina,Galatia,Pessinus,,
16,"Titus Elvius Salinator, son of Titus",yes,1,"epigraphically attested",5,Scaptia,,,"Titus' father, Titus, is recorded to have been part of the Scaptia tribe, so Titus Elvius was likley also a member of the same tribe",
17,"Lucius Fabius, son of Gaius",maybe,4,conjecture,11,Sergia,"Asia Minor",Conana,,"It is not epigraphically attested that Lucius was a member of Legio VII, for the inscription does not explicitly mention service, but it is fragementary and damaged. It was found in the durrounds of Tilurium however, and is of a similar style to other stelae of Legio VII members. Tončinić 2011: 37-38"
18,"Lucius Fabius Saturninus, son of Lucius",yes,2,"epigraphically attested",14,,,,,
19,"Marcus Heredius, son of Marcus",yes,1,"epigraphically attested",14,Palatina,,,,
20,"Lucius Herennius, son of Lucius",yes,1,"epigraphically attested",14,Papiria,"Asia Minor",Mylias,,
21,"Quintus Hortensius, son of Quintus",yes,1,"epigraphically attested",14,,,,,
22,"Marcus Caecilius",yes,8,"epigraphically attested",6,,,,,
23,"Quintus Igneinus Ferox, son of Quintus",yes,4,conjecture,11,Aniensis,"Asia Minor","Augusta Troas",,"Quintus may be a Legio VII member, it is not explicit in his stela however. This possibility is reinforced by the fact that Legio VII member Gaius Curitatus is from Augusta Troas MonumentID 32, CIL 3, 2109"
24,"Gaius Julius, son of Gaius",yes,1,"epigraphically attested",1,Fabia,"Asia Minor",Ninica,,
25,"Gaius Julius, son of Gaius",yes,1,"epigraphically attested",14,Velina,Galatia,Pessinus,,
26,"Gaius Julius, son of Gaius",yes,1,"epigraphically attested",1,Voltinia,,Clistinna,"Mitchell 1976: n.50 suggests the city name is similar to several others found in Galatia",
27,"Gaius Julius Agrippa, son of Gaius",yes,2,"epigraphically attested",11,Sergia,,,"Other members of Sergia tribe are predominantly from Asia Minor, Tončinić 2011.",
28,"Marcus Julius, son of Marcus",yes,2,"epigraphically attested",1,,,Trernahensis,"Tončinić 2011: 205 purports that this 'city' is likely a ethnic name (nomen ethnicom), and the locaiton is unknown.",
29,"Sextus Clodius, son of Gaius",yes,12,conjecture,1,Publilia,Italy,Verona,,"No mention of Legio VII as the stelae is damaged. However, style is the same as many other stelae belonging to servicemen of the legio, and it was found at Tilurium. "
30,"Lucius Cornelius, son of Lucius",yes,1,"epigraphically attested",1,Fabia,"Asia Minor",Heraclea,"Tončinić 2011, 50: Could also be Heraclea Macedonia (Betz 1938 and Wilkes 1969), but Fadić 1997 notes that all other extant members of Macedonian decent are of the Voltinia or Aemilia tribe.",
31,"Gaius Curiatus Secundus, son of Titus",yes,2,"epigraphically attested",16,Sergia,"Asia Minor","Augusta Troas",,
32,"Titus Curtiacus, son of Titus",yes,2,"epigraphically attested",14,Lemonia,Italy,Bononia,,
33,"Gaius Lartinius, son of Gaius",yes,1,"epigraphically attested",1,Pollia,Italy,"Forum Corneli",,
34,"Publius Lastus Scaeva, son of Aulus",yes,2,"epigraphically attested",4,,Italy,Florentia,,
35,"Gaius Licinius, son of Gaius",yes,1,"epigraphically attested",14,Fabia,"Asia Minor",Sinope,,
36,"Marcus Livius, son of Marcus",yes,1,"epigraphically attested",14,Palatina,Macedonia,Alorus,,
37,"Gaius Lollius Valens, son of Gaius",yes,2,"epigraphically attested",14,Papiria,,,"Asia Minor? Another Papiria member, Lucius Herrenius ServicemanID 20 is from Mylias; or Itlay? Sextus Atilius ServicemanID 9 is from Ticinum",
38,"Gaius Longinus, son of Gaius",yes,1,"epigraphically attested",1,Cornelia,"Asia Minor",Amblada,,
39,"Gaius Lucretius",yes,2,"epigraphically attested",9,,Italy,Verona,,"Brother of ServicemanID 40. Found in same plot accoring to Betz 1938: 66; and both epitaphs record the same sized grave plot (20x10ft), Tončinić 2011: 62-63."
40,"Gaius Lucretius",yes,2,"epigraphically attested",14,,Italy,Verona,,"Brother of ServicemanID39. Found in same plot accoring to Betz 1938: 66; and both epitaphs record the same sized grave plot (20x10ft), Tončinić 2011: 62-63. If so, this Gaius is probably the 'brother' recorded as the erector of monument MonumentID 44"
41,"Quintus Magius, son of Gaius",yes,1,"epigraphically attested",14,Publilia,Italy,Verona,,
42,"Gaius Manticus, son of Gaius",yes,2,"epigraphically attested",1,Scaptia,,,,
43,"Gaius Avinnius Postumius",maybe,2,conjecture,11,,,,,"Possible serviceman, mentioned on same inscription as ServicemanID 42, but inscription is damaged at the end, could also be a son, freedman and/or heir."
44,"Quintus Marcius Bassus, son of Quintus",yes,1,"epigraphically attested",1,Cornelia,Italy,Beneventum,,
45,"Lucius Marcilius, son of Gaius",yes,4,"epigraphically attested",15,,Galatia,Pessinus,,"Listed here as possible veteran because all other monuments from the surround of pagus Scunasticus relate to veterani."
46,"Quintus Mettius Valens, son of Quintus",yes,2,"epigraphically attested",1,Voltinia,,,,
47,"Lucius Mummius, son of Lucius",yes,1,"epigraphically attested",1,Fabia,"Asia Minor",Ancyra,,
