MonumentCorpusID,MonumentID,CorpusName,Reference,isPrimaryReference
1,1,CIL,"03, 02908",1
2,1,"Tončinić",092,
3,1,Betz,001,
4,1,Betz,084,
5,1,"Other Ref","ILS 2280",
6,1,"Other Ref","Jagenteufel 1958, no.3.3",
7,1,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032704,
8,1,"Other Ref","Banko, Sticotti 1895, 98ff",
9,2,"Tončinić",073,
10,2,CIL,"03, 02733",1
11,2,Betz,072,
12,2,AE,"1977, 0613",
13,2,"Other Ref","Galsterer 1971",
14,2,"Other Ref","Demicheli, Tončinić 2012",
15,3,CIL,"03, 03198a",1
16,3,CIL,"03, 03200",
17,3,CIL,"03, 10156",
18,3,CIL,"03, 10158",
19,3,CIL,"17-04, 00130",
20,3,AE,"1961, 0304",
21,3,AE,"2006, +1004",
22,3,ILJug,"1, 0262",
23,3,"Tončinić",091,
24,3,"Other Ref","Sanader Tončinić 2013",
25,3,"Other Ref","ILS 2478",
26,3,"Other Ref","ILS 5829",
27,4,"Tončinić",066,1
28,4,"Other Ref","Milošević 1998, 151",
29,4,"Other Ref","Demicheli 2011, 71-72 no. 1",
30,4,"Other Ref","Demicheli, Tončinić 2008",
31,5,AE,"1999, 1230",1
32,5,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039866,
33,5,"Other Ref","Sanader 2000, figs 4 and 6",
34,5,"Other Ref","Sanader, Milićević Bradač, Demicheli 2007",
35,5,"Other Ref","Sanader, Milićević Bradač, Demicheli 2013",
36,5,"Tončinić",001,
37,6,CIL,"03, 02709",1
38,6,"Tončinić",002,
39,6,"Other Ref","Hoffmann 1905, no.42",
40,6,Betz,021,
41,6,"Other Ref","Wilkes 1969, 463",
42,6,"Other Ref","Fadić 1997, no.1",
43,6,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058869,
44,6,"Other Ref","ILS 2252",
45,7,CIL,"03, 03162a",1
46,7,"Tončinić",003,
47,7,"Other Ref","Hofmann 1905, no. 37",
48,7,Betz,018,
49,7,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062298,
50,8,"Tončinić",004,
51,8,ILJug,"3, 2091",1
52,8,Betz,044,
53,8,"Other Ref","Wilkes 1969, 463",
54,8,"Other Ref","Miletić 1989, 102-106",
55,8,"Other Ref","Miletić 1990, 169",
56,8,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034435,
57,8,"Other Ref","BD-VAHD (37) 1914, no. 4657 A",
58,9,CIL,"03, 08723",1
59,9,"Other Ref","BD-VAHD (11) 1888, no. 94",
60,9,Betz,022,
61,9,"Tončinić",005,
62,9,"Other Ref","Miletić 1991, 27-34",
63,9,"Other Ref","Miletić 1989, 66-71",
64,9,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062488,
65,10,"Tončinić",006,
66,10,"Other Ref","Fadić 1995, 163-187",
67,10,AE,"1995, 1231",1
68,10,"Other Ref","Šegvić 1996, no. 31",
69,10,"Other Ref","Fadić 1997, no.7",
70,10,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD040156,
71,11,CIL,"03, 02913",1
72,11,Betz,046,
73,11,"Tončinić",007,
74,11,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060144,
75,11,"Other Ref","Nedved 1992, no.7",
76,11,"Other Ref","Kurilić 1999, 1160",
77,12,"Tončinić",008,
78,12,CIL,"03, 09733",1
79,12,Betz,023,
80,12,"Other Ref","BD-VAHD (1) 1878, no.24",
81,12,"Other Ref","Wilkes 1969, 463",
82,12,"Other Ref","Sanader, Milićević Bradač, Demicheli 2007",
83,12,"Other Ref","Sanader, Milićević Bradač, Demicheli 2013",
84,12,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058840,
85,12,"Other Ref","Rendić-Miočević 1987, 226",
86,12,"Other Ref","Fadić 1997, no. 11",
87,13,"Tončinić",009,
88,13,CIL,"03, 08735",1
89,13,Betz,014,
90,13,"Other Ref","BD-VAHD (5) 1882, no.11",
91,13,"Other Ref","Wilkes 1969, 467",
92,13,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062531,
93,13,"Other Ref","BD-VAHD (8), no. 311",
94,14,CIL,"03, 02014",1
95,14,"Other Ref","Hoffmann 1905, no.46",
96,14,"Tončinić",010,
97,14,Betz,048,
98,14,"Other Ref","Wilkes 1969, 460",
99,14,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054710,
100,14,"Other Ref","Marsić 2010, 67-78",
101,15,CIL,"03, 08487",1
102,15,"Tončinić",011,
103,15,Betz,052,
104,15,"Other Ref","Wilkes 1969, 463",
105,15,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058380,
106,15,"Other Ref","Hoernes 1880, 37-38",
107,15,"Other Ref","BD-VAHD (8), no. 147",
108,15,"Other Ref","Patsch 1908, 111",
109,15,"Other Ref","Bojanovski 1988, no. 19",
110,15,"Other Ref","Bojanovski 1985, 90",
111,15,"Other Ref","Dodig 2005a, no. 1",
112,15,"Other Ref","Dodig 2006, no. 5",
113,16,CIL,"03, 02710",1
114,16,"Other Ref","ILS 2253",
115,16,CIL,"03, 09726",
116,16,"Other Ref","Hofmann 1905, no. 43",
117,16,Betz,051,
118,16,"Tončinić",012,
119,16,"Other Ref","Wilkes 1969, 463",
120,16,"Other Ref","Medini 1984, 108-109, no. 2",
121,16,"Other Ref","Fadić 1997, no. 2",
122,16,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058819,
123,17,"Tončinić",013,
124,17,Betz,008,
125,17,CIL,"03, 02914",1
126,17,"Other Ref","Nedved 1992, no.8",
127,17,"Other Ref","Kurilić 1999, 1878",
128,17,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060145,
129,18,"Tončinić",014,
130,18,Betz,080,
131,18,ILJug,"3, 1949",1
132,18,"Other Ref","Hofmann 1905, 88",
133,18,"Other Ref","Wilkes 1969, 463",
134,18,"Other Ref","Fadić 1997, no. 20",
135,18,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034293,
136,18,"Other Ref","BD-VAHD (26) 1903, no. 3321",
137,19,CIL,"03, 02022",1
138,19,"Tončinić",015,
139,19,Betz,054,
140,19,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054723,
141,20,CIL,"03, 01813",1
142,20,"Tončinić",016,
143,20,Betz,055,
144,20,AE,"1999, 1221",
145,20,"Other Ref","Marin et.al.1999, no.32",
146,20,"Other Ref","Wilkes 1969, 468",
147,20,"Other Ref","Bojanovski 1988, no. 27",
148,20,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD051071,
149,21,CIL,"03, 06364",1
150,21,CIL,"03, 08488",
151,21,"Tončinić",017,
152,21,Betz,056,
153,21,"Other Ref","BD-VAHD (6) 1883, 82 no. 31",
154,21,"Other Ref","Patsch 1914, 167",
155,21,"Other Ref","Patsch 1908, 111",
156,21,"Other Ref","Bojanovski 1988, no. 28",
157,21,"Other Ref","Dodig 2005a, no. 2",
158,21,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058381,
159,22,CIL,"03, 02033",1
160,22,Betz,057,
161,22,"Tončinić",018,
162,22,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054808,
163,23,CIL,"03, 07386",1
164,23,"Other Ref","IK 19, 0043",
165,24,"Tončinić",019,
166,24,Betz,081,
167,24,ILJug,"3, 2105",1
168,24,"Other Ref","Wilkes 1969, 466",
169,24,"Other Ref","BD-VAHD (37) 1914, 65 no.4656A",
170,24,"Other Ref","Miletić 1989, 102-106",
171,24,"Other Ref","Miletić 1990, 169-180",
172,24,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034445,
173,25,ILJug,"3, 1950",1
174,25,"Tončinić",020,
175,25,Betz,028,
176,25,"Other Ref","CLE 1876 = Carmina Latina Epigraphica, hrsg. v. F. Bücheler - E. Lommatzsch, Leipzig 1930.",
177,25,"Other Ref","BD-VAHD (31) 1908, 79 no. 3959 A",
178,25,"Other Ref","Rendić-Miočević 1987, 228",
179,25,"Other Ref","Fadić, 1997, no. 10",
180,25,"Other Ref","Sanader, Milićević Bradač, Demicheli 2007",
181,25,"Other Ref","Sanader, Milićević Bradač, Demicheli 2013",
182,25,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034294,
183,26,"Tončinić",021,
184,26,AE,"1994, 1355",1
185,26,"Other Ref","Cambi 1994, 154-156",
186,26,"Other Ref","Cambi 2001, 84-85, 99",
187,26,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039996,
188,26,"Other Ref","Šegvić 1996, no. 25",
189,27,CIL,"03, 02714",1
190,27,CIL,"03, 09736",
191,27,"Tončinić",022,
192,27,Betz,027,
193,27,"Other Ref","BD-VAHD (1) 1878, 20",
194,27,"Other Ref","Fadić 1997, no. 3",
195,27,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058848,
196,28,CIL,"03, 02885",1
197,28,"Tončinić",023,
198,28,Betz,029,
199,28,"Other Ref","Wilkes 1969, 467",
200,28,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060048,
201,29,CIL,"03, 02715",1
202,29,"Tončinić",024,
203,29,Betz,030,
204,29,"Other Ref","Fadić 1995, no.4",
205,29,"Other Ref","Wilkes 1969, 467",
206,29,EDH,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062415,
207,30,CIL,"03, 13976",1
208,30,"Tončinić",025,
209,30,Betz,024,
210,30,AE,"2007, 1104",
211,30,"Other Ref","BD-VAHD (17) 1894, 4 no. 2",
212,30,"Other Ref","Patsch 1897, no. 10",
