"MonumentID","Monument_Reference","MonumentType","Ancient_Site","Modern_Find_Site","Mention_Legio_VII"
2,"CIL 03, 02733","funerary inscription","Aequum","Sinj","yes"
4,"Tončinić 066","stela","Aequum","Hrvace","yes"
5,"AE 1999, 1230","stela","Tilurium","Vojnić","yes"
6,"CIL 03, 02709","stela","Tilurium","Gardun","yes"
7,"CIL 03, 03162a","stela","","","yes"
8,"ILJug 3, 2091","stela","Salona","Solin","yes"
9,"CIL 03, 08723","stela","Salona","Solin","yes"
10,"AE 1995, 1231","stela","Tilurium","Vojnić","yes"
11,"CIL 03, 02913","stela","Iadera","Zadar","yes"
12,"CIL 03, 09733","stela","Tilurium","Vojnić","yes"
13,"CIL 03, 08735","funerary inscription","Salona","Solin","yes"
14,"CIL 03, 02014","stela","Salona","Solin","yes"
15,"CIL 03, 08487","titulus","Pagus Scunasticus","Filovača","yes"
16,"CIL 03, 02710","stela","Tilurium","Gardun","yes"
17,"CIL 03, 02914","funerary inscription","Iadera","Zadar","yes"
18,"ILJug 3, 1949","stela","Tilurium","Vojnić","maybe"
19,"CIL 03, 02022","funerary inscription","Salona","Solin","yes"
20,"CIL 03, 01813","stela","Narona","Vid","yes"
21,"CIL 03, 06364","titulus","Pagus Scunasticus","Glavica-Ljubuški","yes"
22,"CIL 03, 02033","stela","Salona","Solin","yes"
24,"ILJug 3, 2105","stela","Salona","Solin","maybe"
25,"ILJug 3, 1950","stela","Tilurium","Vojnić","yes"
26,"AE 1994, 1355","stela","","Dugopolje","yes"
27,"CIL 03, 02714","funerary inscription","Tilurium","Vojnić","yes"
28,"CIL 03, 02885","funerary inscription","Corinium","Donji Karin","yes"
29,"CIL 03, 02715","funerary inscription","Tilurium","Košute","yes"
30,"CIL 03, 13976","stela","Tilurium","Vojnić","maybe"
31,"CIL 03, 09734","stela","Tilurium","Gardun","yes"
32,"CIL 03, 02019","funerary inscription","Salona","Solin","yes"
33,"CIL 03, 14244/1","funerary inscription","Salona","Solin","yes"
34,"CIL 03, 14931","stela","","Dicmo","yes"
35,"CIL 03, 01814","funerary inscription","Narona","Vid","yes"
40,"AE 2000, 1174","stela","Pagus Scunasticus","Smokovice-Hardomilje","yes"
41,"ILJug 3, 1920","stela","Pagus Scunasticus","Smokovice-Hardomilje","yes"
42,"AE 1996, 1215","titulus","Salona","Solin","yes"
43,"CIL 03, 09737","stela","Tilurium","Gardun","yes"
44,"CIL 03, 02040","stela","Salona","Solin","yes"
45,"CIL 03, 02041","funerary inscription","Salona","Solin","yes"
46,"CIL 03, 09939","stela","Asseria","Podgrađe","yes"
47,"AE 1904, 0172","stela","Salona","Solin","yes"
48,"CIL 03, 14932","stela","Tilurium","Gardun","yes"
49,"Tončinić 040","stela","Pagus Scunasticus","Veljaci","maybe"
50,"AE 1991, 1291","stela","Salona","Solin","yes"
51,"AE 1995, 1232","stela","Tilurium","Vojnić","yes"
52,"CIL 03, 09738","stela","Tilurium","Vojnić","maybe"
53,"CIL 03, 14946","stela","Aequum","Glavice","yes"
54,"ILJug 3, 1916","titulus","Pagus Scunasticus","Vuna-Hardomilje","yes"
55,"CIL 03, 02716","stela","Tilurium","Gardun","yes"
56,"CIL 03, 13978","stela","Tilurium","Gardun","maybe"
57,"CIL 03, 14933","stela","Tilurium","Trilj","maybe"
58,"CIL 03, 02772","stela","Municipium Riditarum/Rider","Danilo","yes"
59,"ILJug 3, 2280","stela","Salona","Solin","yes"
60,"ILJug 3, 2601","stela","Salona","Kapljuč","yes"
61,"CIL 03, 01818","funerary inscription","Narona","Čitluk","yes"
62,"CIL 03, 02048","stela","Salona","Solin","yes"
63,"AE 1940, 0177","altar","Andetrium","Gornji Muć","yes"
64,"CIL 03, 08493","stela","Pagus Scunasticus","Gračine-Humac","maybe"
65,"ILJug 3, 2090","altar","Salona","Solin","yes"
66,"CIL 03, 08760","stela","Salona","Solin","yes"
67,"ILJug 2, 0670","stela","Pagus Scunasticus","Humac","yes"
68,"AE 1991, 1290","stela","Salona","Solin","yes"
69,"AE 2003, 1330","stela","Pagus Scunasticus","Vuna-Hardomilje","yes"
70,"CIL 03, 02717","funerary inscription","Tilurium","Gardun","yes"
71,"CIL 03, 09761","funerary inscription","Aequum","Hrvace","yes"
72,"ILJug 3, 1921","stela","Pagus Scunasticus","Smokovice-Hardomilje","yes"
73,"CIL 03, 08764","altar","Salona","Solin","yes"
74,"CIL 03, 09712","stela","Siculi","Bijaći","maybe"
75,"CIL 03, 02678","altar","Tragurium","Trogir","yes"
76,"CIL 03, 09741","stela","Tilurium","Vojnić","yes"
77,"ILJug 3, 2093","altar","Salona","Solin","yes"
78,"ILJug 3, 2600","stela","Salona","Kapljuč","yes"
79,"CIL 03, 09742","funerary inscription","Tilurium","Trilj","yes"
80,"CIL 03, 02071","funerary inscription","Salona","Solin","yes"
81,"AE 2000, 1176","stela","Pagus Scunasticus","Grebine-Vitaljina","yes"
82,"CIL 03, 08732","funerary inscription","Salona","Solin","yes"
88,"Other Ref Matijević 2017: fig. 1","stela","Siculi","Bijaći","yes"
89,"Tončinić 076","stela","","","maybe"
90,"CIL 03, 09711","funerary inscription","Tragurium","Trogir","yes"
91,"CIL 03, 14699","inscription fragment","Salona","Solin","yes"
92,"CIL 03, 14992","funerary inscription","Burnum","Kistanje","maybe"
93,"CIL 03, 08763","funerary inscription","Salona","Solin","maybe"
94,"ILJug 3, 2028","inscription fragment","Salona","Klis","yes"
95,"CIL 03, 14248","inscription fragment","Salona","Solin","yes"
96,"CIL 03, 08767","inscription fragment","Salona","Solin","maybe"
97,"ILJug 3, 3239","inscription fragment","Tilurium","Gardun","maybe"
98,"CIL 03, 12909","funerary inscription","Salona","Solin","maybe"
99,"Tončinić 086","funerary inscription","Salona","Solin","maybe"
100,"ILJug 2, 0733","stela","Tilurium","Gardun","maybe"
130,"Other Ref Medini 1984: fig. 2","stela","Tilurium","Trilj","maybe"
